,SOFR30DAYAVG,SOFR,EFFR,AAA,DBAA,T10YIE,T5YIE,MORTGAGE30US,DGS30,DGS1,BAMLH0A0HYM2EY,SOFRVOL,RECPROUSM156N,SAHMREALTIME,ab_bond_spread,junk_bond_spread,int_spread
2010-11-17,,,-0.009999999999999981,0.0,0.019999999999999574,0.06999999999999984,0.040000000000000036,0.0,0.04999999999999982,-0.010000000000000009,-0.009999999999999787,,0.14,0.13,1.1499999999999995,2.71,4.05
2010-11-18,,,0.0,0.0,0.0,0.020000000000000018,0.040000000000000036,0.21999999999999975,-0.019999999999999574,0.0,-0.0600000000000005,,0.14,0.13,1.1499999999999995,2.6499999999999995,4.03
2010-11-19,,,0.009999999999999981,0.0,-0.02999999999999936,0.040000000000000036,0.020000000000000018,0.0,-0.040000000000000036,0.010000000000000009,0.020000000000000462,,0.14,0.13,1.12,2.67,3.98
2010-11-22,,,-0.01999999999999999,0.0,-0.04999999999999982,-0.009999999999999787,-0.010000000000000009,0.0,-0.04999999999999982,-0.010000000000000009,0.019999999999999574,,0.14,0.13,1.0700000000000003,2.6899999999999995,3.9400000000000004
2010-11-23,,,0.010000000000000009,0.0,-0.040000000000000036,-0.020000000000000018,-0.040000000000000036,0.0,-0.020000000000000462,0.0,0.10000000000000053,,0.14,0.13,1.0300000000000002,2.79,3.92
2010-11-24,,,0.0,0.0,0.1299999999999999,0.04999999999999982,0.050000000000000044,0.010000000000000675,0.11000000000000032,0.020000000000000018,0.019999999999999574,,0.14,0.13,1.1600000000000001,2.8099999999999996,4.01
2010-11-25,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.14,0.13,1.1600000000000001,2.8099999999999996,4.01
2010-11-26,,,0.0,0.0,-0.08999999999999986,-0.009999999999999787,0.010000000000000009,0.0,-0.08000000000000007,0.0,-0.019999999999999574,,0.14,0.13,1.0700000000000003,2.79,3.9299999999999997
2010-11-29,,,0.0,0.0,-0.0600000000000005,-0.010000000000000231,-0.020000000000000018,0.0,-0.04999999999999982,0.0,0.04999999999999982,,0.14,0.13,1.0099999999999998,2.84,3.88
2010-11-30,,,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.0,-0.040000000000000036,-0.010000000000000009,0.21999999999999975,,0.14,0.13,0.9699999999999998,3.0599999999999996,3.85
2010-12-01,,,0.0,0.14999999999999947,0.14000000000000057,0.07000000000000028,0.06000000000000005,0.0,0.1200000000000001,0.010000000000000009,-0.04999999999999982,,0.06,0.1,0.9600000000000009,2.8600000000000003,3.96
2010-12-02,,,-0.010000000000000009,0.0,0.019999999999999574,0.029999999999999805,0.039999999999999813,0.05999999999999961,0.02999999999999936,0.009999999999999953,-0.05999999999999961,,0.06,0.1,0.9800000000000004,2.8000000000000007,3.9799999999999995
2010-12-03,,,-0.010000000000000009,0.0,0.04999999999999982,0.0,-0.019999999999999796,0.0,0.05000000000000071,-0.02999999999999997,-0.03000000000000025,,0.06,0.1,1.0300000000000002,2.7700000000000005,4.0600000000000005
2010-12-06,,,0.0,0.0,-0.08000000000000007,-0.009999999999999787,-0.020000000000000018,0.0,-0.07000000000000028,0.0,-0.04999999999999982,,0.06,0.1,0.9500000000000002,2.7200000000000006,3.99
2010-12-07,,,-0.009999999999999981,0.0,0.16999999999999993,0.06999999999999984,0.06999999999999984,0.0,0.13999999999999968,0.020000000000000018,-0.04999999999999982,,0.06,0.1,1.12,2.670000000000001,4.109999999999999
2010-12-08,,,0.0,0.0,0.020000000000000462,-0.040000000000000036,0.010000000000000009,0.0,0.0600000000000005,0.019999999999999962,0.019999999999999574,,0.06,0.1,1.1400000000000006,2.6900000000000004,4.15
2010-12-09,,,-0.010000000000000009,0.0,-0.07000000000000028,-0.04999999999999982,-0.030000000000000027,0.15000000000000036,-0.040000000000000036,0.0,0.0,,0.06,0.1,1.0700000000000003,2.6900000000000004,4.11
2010-12-10,,,0.0,0.0,0.020000000000000462,0.020000000000000018,0.0,0.0,0.019999999999999574,-0.010000000000000009,-0.009999999999999787,,0.06,0.1,1.0900000000000007,2.6800000000000006,4.14
2010-12-13,,,0.010000000000000009,0.0,-0.020000000000000462,0.020000000000000018,0.010000000000000009,0.0,-0.040000000000000036,0.0,-0.009999999999999787,,0.06,0.1,1.0700000000000003,2.670000000000001,4.1
2010-12-14,,,0.01999999999999999,0.0,0.15000000000000036,0.040000000000000036,0.030000000000000027,0.0,0.15000000000000036,0.010000000000000009,-0.03000000000000025,,0.06,0.1,1.2200000000000006,2.6400000000000006,4.24
